NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;NBJRR1;NBJRR5;NBJRR10;NBJBROU;TX;TN;TM;UMM;INST;FFM
92007001;BAGNEUX;48.809667;2.308167;82;201106;76.4;14.0;6.0;3.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;201107;72.3;9.0;4.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;201108;81.9;10.0;6.0;4.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;201109;29.6;4.0;3.0;1.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;201110;30.4;7.0;4.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;201111;35.6;4.0;3.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;201112;107.6;21.0;9.0;2.0;;;;;;;
92025001;COLOMBES;48.925167;2.255333;29;200001;18.1;8.0;0.0;0.0;0.0;7.6;3.0;5.3;;;
92025001;COLOMBES;48.925167;2.255333;29;200002;63.5;13.0;5.0;0.0;0.0;11.2;4.8;8.0;;;
92025001;COLOMBES;48.925167;2.255333;29;200003;39.1;11.0;3.0;0.0;0.0;13.4;5.3;9.3;;;
92025001;COLOMBES;48.925167;2.255333;29;200004;84.5;15.0;4.0;3.0;0.0;15.9;7.7;11.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200005;103.2;13.0;5.0;4.0;0.0;21.2;12.1;16.7;;;
92025001;COLOMBES;48.925167;2.255333;29;200006;29.8;4.0;2.0;2.0;0.0;23.7;13.6;18.6;;;
92025001;COLOMBES;48.925167;2.255333;29;200007;160.0;15.0;10.0;8.0;0.0;22.6;13.7;18.1;;;
92025001;COLOMBES;48.925167;2.255333;29;200008;53.8;7.0;3.0;1.0;0.0;26.1;15.4;20.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200009;37.6;7.0;4.0;0.0;0.0;22.2;13.3;17.7;;;
92025001;COLOMBES;48.925167;2.255333;29;200010;136.0;13.0;8.0;6.0;0.0;15.8;9.9;12.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200011;86.4;16.0;7.0;2.0;0.0;11.8;6.6;9.2;;;
92025001;COLOMBES;48.925167;2.255333;29;200012;84.5;16.0;6.0;2.0;0.0;10.1;5.8;7.9;;;
92025001;COLOMBES;48.925167;2.255333;29;200101;65.7;14.0;5.0;2.0;;8.2;3.5;5.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200102;42.0;11.0;3.0;0.0;0.0;9.9;3.7;6.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200103;135.0;20.0;9.0;3.0;0.0;13.2;6.3;9.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200104;65.5;15.0;3.0;1.0;0.0;14.0;6.7;10.4;;;
92025001;COLOMBES;48.925167;2.255333;29;200105;40.4;7.0;1.0;1.0;0.0;21.7;11.6;16.7;;;
92025001;COLOMBES;48.925167;2.255333;29;200106;39.6;5.0;4.0;1.0;0.0;23.7;12.8;18.2;;;
92025001;COLOMBES;48.925167;2.255333;29;200107;166.8;12.0;7.0;4.0;0.0;25.3;15.6;20.5;;;
92025001;COLOMBES;48.925167;2.255333;29;200108;61.7;9.0;4.0;3.0;0.0;26.5;15.9;21.2;;;
92025001;COLOMBES;48.925167;2.255333;29;200109;78.5;15.0;4.0;3.0;0.0;18.7;10.8;14.7;;;
92025001;COLOMBES;48.925167;2.255333;29;200110;66.8;12.0;4.0;2.0;0.0;19.7;12.4;16.1;;;
92025001;COLOMBES;48.925167;2.255333;29;200111;45.2;10.0;3.0;1.0;0.0;10.4;3.9;7.2;;;
92025001;COLOMBES;48.925167;2.255333;29;200112;47.8;6.0;3.0;1.0;0.0;6.8;1.6;4.2;;;
92025001;COLOMBES;48.925167;2.255333;29;200201;25.2;9.0;2.0;0.0;2.0;9.1;3.7;6.4;;;
92025001;COLOMBES;48.925167;2.255333;29;200202;75.8;13.0;4.0;1.0;0.0;11.9;5.9;8.9;;;
92025001;COLOMBES;48.925167;2.255333;29;200203;71.8;9.0;4.0;2.0;0.0;14.9;6.0;10.4;;;
92025001;COLOMBES;48.925167;2.255333;29;200204;9.0;4.0;0.0;0.0;0.0;18.1;6.8;12.4;;;
92025001;COLOMBES;48.925167;2.255333;29;200205;60.9;13.0;6.0;0.0;0.0;19.3;10.2;14.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200206;59.9;6.0;4.0;3.0;0.0;24.5;14.1;19.3;;;
92025001;COLOMBES;48.925167;2.255333;29;200207;50.8;9.0;4.0;1.0;0.0;25.0;14.8;19.9;;;
92025001;COLOMBES;48.925167;2.255333;29;200208;54.0;9.0;5.0;1.0;0.0;24.8;15.3;20.0;;;
92025001;COLOMBES;48.925167;2.255333;29;200209;19.3;5.0;1.0;0.0;0.0;21.8;11.4;16.6;;;
